date,open,high,low,close
1/29/1993,26.9699,26.9699,26.8357,26.9507
2/1/1993,26.9699,27.1424,26.9699,27.1424
2/2/1993,27.1232,27.2191,27.0658,27.1999
2/3/1993,27.2382,27.5066,27.2191,27.4875
2/4/1993,27.5833,27.6599,27.2766,27.6025
2/5/1993,27.5833,27.6408,27.4299,27.5833
2/8/1993,27.5833,27.6791,27.5449,27.5833
2/9/1993,27.4875,27.4875,27.3341,27.3916
2/10/1993,27.3916,27.4491,27.3149,27.4299
2/11/1993,27.4683,27.6791,27.4683,27.5641
2/12/1993,27.5258,27.5258,27.3533,27.3533
2/16/1993,27.2766,27.2766,26.6249,26.6632
2/17/1993,26.6632,26.7015,26.5482,26.6441
2/18/1993,26.9507,26.9507,26.2607,26.6249
2/19/1993,26.6249,26.7207,26.5865,26.7207
2/22/1993,26.7974,26.8549,26.7207,26.8165
2/23/1993,26.8932,26.9124,26.6632,26.7974
2/24/1993,26.8165,27.1424,26.8165,27.1424
2/25/1993,27.1232,27.2191,27.0658,27.1999
2/26/1993,27.2574,27.2574,27.1041,27.2382
3/1/1993,27.3341,27.3341,27.1232,27.1616
3/2/1993,27.1808,27.5641,27.1424,27.5641
3/3/1993,27.6025,27.6983,27.5641,27.6791
3/4/1993,27.7175,27.7175,27.5258,27.5258
3/5/1993,27.5641,27.6791,27.4299,27.4491
3/8/1993,27.5066,28.0625,27.5066,28.0625
3/9/1993,28.0050,28.0242,27.9092,27.9666
3/10/1993,27.9666,28.0242,27.8516,28.0242
3/11/1993,28.0433,28.1200,27.9092,27.9475
3/12/1993,27.7175,27.7366,27.4875,27.6599
3/15/1993,27.6408,27.7942,27.6408,27.7942
3/16/1993,27.7942,27.8708,27.7942,27.7942
3/17/1993,27.7558,27.7558,27.5833,27.6216
3/18/1993,27.7366,27.9092,27.7366,27.7942
3/19/1993,27.9063,27.9063,27.7523,27.7523
3/22/1993,27.4826,27.6560,27.4634,27.5982
3/23/1993,27.6752,27.6945,27.6175,27.6560
3/24/1993,27.6175,27.7716,27.4826,27.6560
3/25/1993,27.6752,27.8871,27.6367,27.8293
3/26/1993,27.8101,27.8293,27.6560,27.6752
3/29/1993,27.6945,27.9256,27.6945,27.7908
3/30/1993,27.8293,27.8678,27.7908,27.8678
3/31/1993,27.9449,28.0219,27.8486,27.8486
4/1/1993,27.8871,27.8871,27.6945,27.7523
4/2/1993,27.5212,27.5212,27.1745,27.1745
4/5/1993,27.3864,27.3864,27.2323,27.3093
4/6/1993,27.3671,27.3671,27.1553,27.2323
4/7/1993,27.2708,27.3286,27.2130,27.3286
4/8/1993,27.4441,27.4441,27.1745,27.2900
4/12/1993,27.5597,27.6945,27.5212,27.6752
4/13/1993,27.6560,27.8293,27.6367,27.7330
4/14/1993,27.7523,27.7716,27.6752,27.6945
4/15/1993,27.6752,27.7523,27.5790,27.6945
4/16/1993,27.7137,27.7523,27.6560,27.6945
4/19/1993,27.6945,27.7716,27.5597,27.5790
4/20/1993,27.5404,27.5790,27.2708,27.4441
4/21/1993,27.5019,27.5019,27.3479,27.4249
4/22/1993,27.3093,27.5404,27.0782,27.0782
4/23/1993,27.0204,27.0975,26.9242,26.9627
4/26/1993,26.9819,27.0782,26.6738,26.7508
4/27/1993,26.7123,27.0397,26.7123,27.0397
4/28/1993,27.0012,27.0589,26.9434,26.9819
4/29/1993,27.0397,27.0975,26.8856,27.0975
4/30/1993,27.1938,27.2900,27.1360,27.1360
5/3/1993,27.1745,27.3093,27.0589,27.3093
5/4/1993,27.3671,27.5019,27.3286,27.4056
5/5/1993,27.4056,27.5790,27.4056,27.4826
5/6/1993,27.4441,27.4634,27.3671,27.3864
5/7/1993,27.4056,27.4056,27.2900,27.3286
5/10/1993,27.3671,27.5404,27.3671,27.3864
5/11/1993,27.3864,27.5019,27.3093,27.5019
