,tAvePos,tAveNeg,tAveNeut,dAvePos,dAveNeg,dAveNeut,Cnt
0,,,,,,,0
1,,,,,,,0
2,,,,,,,0
3,,,,,,,0
4,,,,,,,0
5,,,,,,,0
6,,,,,,,0
7,,,,,,,0
8,,,,,,,0
9,,,,,,,0
10,,,,,,,0
11,,,,,,,0
12,,,,,,,0
13,,,,,,,0
14,,,,,,,0
15,,,,,,,0
16,,,,,,,0
17,,,,,,,0
18,,,,,,,0
19,,,,,,,0
20,,,,,,,0
21,,,,,,,0
22,,,,,,,0
23,,,,,,,0
24,,,,,,,0
25,,,,,,,0
26,,,,,,,0
27,,,,,,,0
28,,,,,,,0
29,,,,,,,0
30,,,,,,,0
31,,,,,,,0
32,,,,,,,0
33,,,,,,,0
34,,,,,,,0
35,,,,,,,0
36,,,,,,,0
37,,,,,,,0
38,,,,,,,0
39,,,,,,,0
40,,,,,,,0
41,,,,,,,0
42,,,,,,,0
43,,,,,,,0
44,,,,,,,0
45,,,,,,,0
46,,,,,,,0
47,,,,,,,0
48,,,,,,,0
49,,,,,,,0
50,,,,,,,0
51,,,,,,,0
52,,,,,,,0
53,,,,,,,0
54,,,,,,,0
55,,,,,,,0
56,,,,,,,0
57,,,,,,,0
58,,,,,,,0
59,,,,,,,0
60,,,,,,,0
61,,,,,,,0
62,,,,,,,0
63,,,,,,,0
64,,,,,,,0
65,,,,,,,0
66,,,,,,,0
67,,,,,,,0
68,,,,,,,0
69,,,,,,,0
70,,,,,,,0
71,,,,,,,0
72,,,,,,,0
73,,,,,,,0
74,,,,,,,0
75,,,,,,,0
76,,,,,,,0
77,,,,,,,0
78,,,,,,,0
79,,,,,,,0
80,,,,,,,0
81,,,,,,,0
82,,,,,,,0
83,,,,,,,0
84,,,,,,,0
85,,,,,,,0
86,,,,,,,0
87,,,,,,,0
88,,,,,,,0
89,,,,,,,0
90,-0.23991380496458573,1.7877237315882335,-1.186737424609336,-0.2531346265565265,1.5551443194801158,-0.9808410920880057,22
91,-0.1625496000051498,2.304466485977173,-1.939735770225525,-1.472789287567139,1.3941311836242676,0.9345175623893738,1
92,-1.8282660245895386,0.0582492779940367,2.643486499786377,-1.1693560779094696,0.7683550715446472,0.7251794338226318,2
93,-1.7161394357681274,2.006799459457397,0.7307049632072449,-1.8394279479980469,-0.4359432756900787,2.8563973903656006,1
94,-0.6175608336925507,2.485018253326416,-1.4004993438720703,-0.9027496725320816,1.5020062029361725,0.04838240146636963,2
95,-0.5157497939653695,1.9433938711881638,-1.0220654159784317,0.25352809019386763,2.131417840719223,-2.211188018321991,4
96,,,,,,,0
97,-0.5460130572319031,2.3312536478042603,-1.5221818685531616,0.4065026491880417,1.4618313908576965,-1.9497292637825012,2
98,-0.4968403577804565,2.384000301361084,-1.4349489212036133,-0.8313055038452148,2.595210552215576,-1.3258765935897827,1
99,,,,,,,0
100,,,,,,,0
101,-1.2563471794128418,2.0592710971832275,0.2351055145263672,0.7071820497512817,1.869044303894043,-2.373728513717652,1
102,0.10686729475855822,1.5350934565067291,-1.6430539190769196,-0.08343721623532473,1.4797508716583252,-1.4039992466568947,4
103,-0.3160633849246161,2.033580765553883,-1.3276389288050787,0.3457966251032693,1.434061026679618,-1.8022893726825715,35
104,-0.14497456885874266,2.4422950744628906,-1.9534620642662048,0.2266974300146103,0.3930890560150146,-0.2787887752056122,2
105,0.1650422215461731,2.1801483035087585,-2.133558928966522,-0.5509465783834457,0.18196356296539307,0.45871931314468395,2
106,1.006426453590393,-1.575292706489563,-0.0414776876568794,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
107,0.5382882207632065,1.8128863573074343,-2.3469945788383484,-0.31698141247034073,1.4638903141021729,-0.651321217417717,2
108,,,,,,,0
109,,,,,,,0
110,,,,,,,0
111,,,,,,,0
112,,,,,,,0
113,-0.6702148914337158,-0.4916073679924011,1.0619721412658691,-1.5684365034103394,-1.066648244857788,2.9315667152404785,1
114,-0.9074477553367616,1.6396753787994385,-0.2186979502439499,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
115,-0.1836524605751037,2.425414562225342,-1.9357229471206665,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
