,date,title,description,source
0,2021-01-29 11:15:57-08:00,C-W Form - Offering Statement Withdrawal - Organic Amazon Corp. (0001831785) (Filer),Offering Statement Withdrawal,SEC
1,2021-01-29 08:55:10-08:00,"EU lawmakers, Amazon, Apple, Facebook, Google hearing pushed back by 2 months","EU lawmakers, who are gearing up to curb the power of U.S. tech giants, have told Amazon, Apple, Facebook and Alphabet that they are willing to push back a proposed Feb. 1 hearing by two months.",Reuters
2,2021-01-29 06:58:00-08:00,"IQST - iQSTEL New Technology Division Recognized Alongside Apple, Amazon and GE","iQSTEL, Inc. (USOTC: IQST) today highlighted the industry recognition of its new Technology Division. iQSTEL's subsidiary, loT Labs Mx...",PR Newswire
3,2021-01-28 21:00:00-08:00,Will Growing AWS Clientele Aid Amazon's (AMZN) Q4 Earnings?,"Amazon's (AMZN) fourth-quarter results are likely to reflect benefits from AWS's dominance in cloud, driven by strengthening services portfolio.",Zacks Equity Research
4,2021-01-28 06:00:00-08:00,"Social Media Platform Tsū Collaborates with AWS, Using Amazon Interactive Video Service for a Reimagined Big Game Experience on February 7th","Tsu Inc., the ""Social That Pays,"" today announces it is using Amazon Interactive Video Service (Amazon IVS), an Amazon Web Services (AWS) managed...",PR Newswire
5,2021-01-28 06:00:00-08:00,Cribl Achieves Amazon Linux 2 Ready Designation,"Cribl, the leading Observability Pipeline company, today announced that it has achieved the Amazon Linux 2 Ready designation, part of the Amazon Web...",PR Newswire
6,2021-01-28 05:03:55-08:00,Walmart plans big push to challenge Amazon on advertising,"Walmart Inc plans to expand its advertising business, adding space for ads at its U.S. stores and sharing its vast trove of shopper data with brands, the world's largest retailer said on Thursday, looking to challenge rival Amazon.com Inc as a media powerhouse.",Reuters
7,2021-01-28 04:00:34-08:00,"VigiTrust CEO Mathieu Gorge’s ""The Cyber Elephant in the Boardroom"" Named Amazon Kindle Best-Seller","NEW YORK, Jan. 28, 2021 (GLOBE NEWSWIRE) -- Global Privacy Day – VigiTrust today announced that its founder and CEO Mathieu Gorge’s new book, The Cyber Elephant in the Boardroom, is the #1 best...",GlobeNewswire
8,2021-01-27 21:00:00-08:00,Amazon (AMZN) to Report Q4 Earnings: What's in the Cards?,"Amazon's (AMZN) fourth-quarter results are likely to reflect strength across its retail and cloud businesses, and the device portfolio.",Zacks Equity Research
9,2021-01-27 09:06:00-08:00,"D Form - Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 - CoVenture - Amzn Credit Opportunities Fund LP (0001841438) (Filer)","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7",SEC
10,2021-01-27 09:01:13.767000-08:00,Amazon Seeks to Block Resolution Calling for Racial Audit,Amazon.com Inc. is asking U.S. regulators to block a shareholder proposal from the New York State Common Retirement Fund that asked the company to conduct an audit on racism and diversity.,Bloomberg
11,2021-01-27 07:00:00-08:00,Amazon-Owned Ring Launches Entry-Level $60 Home Video Doorbell,"Ring, Amazon.com Inc.’s smart home security division, on Wednesday launched a $60 home doorbell, its cheapest model to date.",Bloomberg
12,2021-01-27 06:00:21-08:00,TOUGHBUILT™ FISCAL YEAR 2020 AMAZON GROSS SALES APPROXIMATELY $7 MILLION,"Lake Forest, Calif, Jan. 27, 2021 (GLOBE NEWSWIRE) -- ToughBuilt Industries, Inc. (“ToughBuilt”) (NASDAQ: TBLT; TBLTW), today announced gross sales through its Amazon storefronts for the fiscal year...",GlobeNewswire
13,2021-01-27 03:08:38.603000-08:00,Battle for Poland’s $19 Billion E-Commerce Market Begins For Real With Amazon Entry,A battle for the control of Poland’s booming $19 billion online shopping market is about to reach a fever pitch after Amazon Inc. said it plans to launch in the European Union’s largest eastern economy.,Bloomberg
14,2021-01-27 02:45:26-08:00,"Amazon set to launch in Poland, shares in local Allegro fall","Online shopping platform Amazon is preparing to set up a Polish based website so local shoppers will no longer have to order via its German site, it said on Wednesday, sending shares in top local rival Allegro down by over 7%.",Reuters
15,2021-01-27 00:34:24-08:00,Amazon stops alcohol sales in Northern Ireland due to Brexit rules: ITV,"Amazon has halted sales of wines, beers and spirits in Northern Ireland and is preparing to de-list more products due to new Brexit customs rules, broadcaster ITV reported on Tuesday.",Reuters
16,2021-01-26 22:05:12-08:00,Reliance pulls Indian shares lower as Amazon tries to block Future deal,"Indian shares fell on Wednesday, dragged down by heavyweight Reliance Industries, after U.S. e-commerce giant Amazon.com sought to block Future Group's $3.4 billion retail asset sale to the conglomerate, while pre-Budget jitters also weighed on sentiment.",Reuters
17,2021-01-26 20:15:57-08:00,Indian shares slip as Reliance falls after Amazon tries to block Future deal,"Indian shares opened lower on Wednesday, weighed down by heavyweight Reliance Industries after U.S. e-commerce giant Amazon.com requested a court to block Future Group's $3.4 billion retail asset sale to the conglomerate.",Reuters
18,2021-01-26 18:12:01-08:00,"8-K Form - Current report, item 5.02 - AMAZON COM INC (0001018724) (Filer)","Current report, item 5.02",SEC
19,2021-01-26 13:16:02-08:00,Ecuador's state oil firm defends practices after European lenders exit Amazon oil trade,"Ecuador's state-run oil company, Petroecuador, on Tuesday responded to the exit of several big European banks from financing the Amazon oil trade by saying it compensates communities for environmental impact associated with infrastructure development.",Reuters
20,2021-01-26 11:07:50-08:00,Amazon Echo can now make a noise like a dog barking if you're not home — here's how to set it up,"The feature is part of Alexa Guard Plus, a subscription service that costs $4.99 per month or $49 per year after a 30-day free trial. ",CNBC
21,2021-01-26 09:54:08-08:00,"Update: Loop Media, Inc. Expands Its Music Video Service Into the Consumer Market With Amazon Fire TV","Loop Media’s New Consumer App is Now Available on Amazon Fire TV, Extending Its Existing Loop.tv Business App and Bringing One of the Deepest Libraries of Music Videos to In-Home and Out-Of-Home ...",GlobeNewswire
22,2021-01-26 08:27:00-08:00,"Qualcomm signs up GM, Amazon for its Automotive Cockpit platforms","GM (NYSE:GM) will use Qualcomm's (NASDAQ:QCOM) new third-generation Snapdragon Automotive Cockpit platforms in its next-generation vehicles.QCOM's third-gen Automotive Cockpits will start appearing in vehicles this year, and the company teased the fourth generation update today. ""The high performance digital cockpit systems will provide new, rich, and immersive in-vehicle experiences as well as highly intuitive artificial intelligence (NYSE:AI)-enabled experiences for in-car virtual assistance, natural interactions between the vehicle and driver, and contextual safety use cases,"" according to the press release.The auto cockpit platforms build on the existing relationship between GM and Qualcomm, which has previously provided connected car communication solutions including safety and diagnostics.Qualcomm is also teaming up with Amazon (NASDAQ:AMZN) with the Automotive Cockpit Platform through the pre-integration of Alexa Custom Assistant.The custom assistant is a new system that allows auto OEMs and suppliers to build customizable, in-vehicle intelligent assistants.Separately, Qualcomm announces that its Snapdragon Ride driver assistance computer will appear in production vehicles next year.Qualcomm shares are down 1.4% to $162.10.Earlier today, Veoneer and Qualcomm announced collaborating on advanced driver assistance systems.",Seeking Alpha
23,2021-01-26 07:09:37-08:00,Elon Musk blasts Jeff Bezos' Amazon for attempts to 'hamstring' SpaceX's Starlink satellite internet,Elon Musk's SpaceX and Jeff Bezos' Amazon are sparring in front of the FCC over the satellite internet projects Starlink and Project Kuiper.,CNBC
24,2021-01-26 07:00:00-08:00,CompuGain Achieves the Amazon RDS Service Delivery Designation,"CompuGain, announced today that it has achieved the Amazon Web Services (AWS) Service Delivery designation for Amazon Relational Database Service...",PR Newswire
25,2021-01-26 06:13:00-08:00,900%™ Amazon PPC Placement Bidding App -- Now Expanded for KDP Publishers,900 Percent LLC today announced that its new Amazon PPC placement bidding application—900%™—has been expanded to accommodate the requirements of KDP...,PR Newswire
